SHEET: Metrics Catalog,,,,,,,,,
Metric ID,Metric Name,Section,Description,Formula (Current / Mock),Real SQL Formula,Real Tables Required,Data Status,Display Type
,,,,,,,,
--- PEOPLE SECTION ---,,,,,,,,
P01,Active Users (Period),People – KPI,"Count of users active in the selected date range","COUNT(users WHERE last_active >= dateRange.from AND last_active <= dateRange.to AND role IN selectedRoles)","SELECT COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE platform_id=6 AND DATE(created_on) BETWEEN :from AND :to AND type='LOGIN'","raw_iam_activities","LIVE (Supabase)",Count
P02,Avg Health Score,People – KPI,"Average health score across all users including dormant","AVG(users[].health_score) — value hardcoded in users.json","score = (0.25 × norm_login_freq) + (0.25 × norm_action_count) + (0.25 × norm_module_diversity) + (0.25 × norm_report_usage). AVG(score) across all users. Normalize each component 0–1 with min-max scaling.","raw_iam_activities, raw_audit_logs, raw_iam_services","LIVE (Supabase) (M43 in metrics_analysis.csv)",Score (0–100)
P03,New Activations (30d),People – KPI,"Count of users who performed first action after login in last 30 days","overview.kpis.new_activations_30d — hardcoded","first_login = MIN(created_on) per user_id FROM raw_iam_activities WHERE type='LOGIN'. activated = users WHERE EXISTS(SELECT 1 FROM raw_audit_logs WHERE user_id=u.id AND created_on > first_login AND created_on >= CURRENT_DATE-30)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
P04,Session Completion Rate,People – KPI,"Percentage of login sessions where user took at least one action beyond login","overview.kpis.completion_rate — hardcoded","sessions = sessions from raw_iam_activities (60-min gap rule). completion_rate = COUNT(sessions WHERE EXISTS audit_log event within session window) / COUNT(all sessions) * 100","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M45)",Percentage
P05,Total Sessions (30d),People – KPI,"Total sessions across all users in last 30 days","overview.kpis.total_sessions_30d — hardcoded","SELECT COUNT(session_id) — sessions derived from raw_iam_activities using 60-min gap rule WHERE platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase) (M14)",Count
P06,Total Events (30d),People – KPI,"Total events triggered by all users in last 30 days","overview.kpis.total_events_30d — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE platform_id=6 AND type='ACTIVITY' AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
P07,Shallow Session %,People – KPI,"Percentage of sessions that were login-only with no further action","overview.kpis.shallow_session_pct — hardcoded","shallow = sessions WHERE COUNT(audit_log events in window)=0. ratio = shallow/total_sessions * 100","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M52)",Percentage
P08,Active Users 7d vs Prev,People – Trend,"Period-over-period change in 7-day active user count","trends.active_users_7d_vs_prev — hardcoded","(DAU_this_7d - DAU_prev_7d) / DAU_prev_7d * 100 using COUNT(DISTINCT user_id) per 7d window","raw_iam_activities","LIVE (Supabase)",Percentage (±)
P09,Active Users 30d vs Prev,People – Trend,"Period-over-period change in 30-day active user count","trends.active_users_30d_vs_prev — hardcoded","(MAU_this_30d - MAU_prev_30d) / MAU_prev_30d * 100","raw_iam_activities","LIVE (Supabase)",Percentage (±)
P10,Health Score vs Prev,People – Trend,"Change in average health score versus previous 30-day period","trends.health_score_vs_prev — hardcoded","health_score_this_period_avg - health_score_prev_period_avg (both computed via M43 formula for respective windows)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Percentage (±)
P11,Daily Active Users (DAU),People – Activity Trend,"Unique users active on each calendar day","dau_series[date].dau — hardcoded","SELECT DATE(created_on), COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 GROUP BY DATE(created_on)","raw_iam_activities","LIVE (Supabase) (M1)",Time Series
P12,Sessions per Day,People – Activity Trend,"Total sessions started on each calendar day","dau_series[date].sessions — hardcoded","Sessions derived per day: apply 60-min gap rule then GROUP BY DATE(session_start) WHERE platform_id=6","raw_iam_activities","LIVE (Supabase) (M14)",Time Series
P13,Events per Day,People – Activity Trend,"Total events triggered across all users on each calendar day","dau_series[date].events — hardcoded","SELECT DATE(created_on), COUNT(*) FROM raw_audit_logs WHERE platform_id=6 AND type='ACTIVITY' GROUP BY DATE(created_on)","raw_audit_logs","LIVE (Supabase)",Time Series
P14,Role Count,People – Role Distribution,"Number of users assigned to each role","roles[role].count — hardcoded","SELECT g.name, COUNT(DISTINCT uhg.user_id) FROM raw_iam_user_groups uhg JOIN raw_iam_groups g ON uhg.group_id=g.id WHERE uhg.deleted_on IS NULL GROUP BY g.name","raw_iam_user_groups, raw_iam_groups","LIVE (Supabase) (M6)",Count
P15,Role Percentage,People – Role Distribution,"Share of total users belonging to each role","roles[role].pct — hardcoded","role_count / total_users * 100 (derived from M6 formula above)","raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Percentage
P16,Avg Health per Role,People – Role Distribution,"Average health score for users in each role","roles[role].avg_health — hardcoded","Compute health_score per user via M43. Then AVG(health_score) GROUP BY g.name via user_has_groups JOIN group_master","raw_iam_activities, raw_audit_logs, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Score (0–100)
P17,Active Today per Role,People – Role Distribution,"Count of users in each role who were active today","roles[role].active_today — hardcoded","SELECT g.name, COUNT(DISTINCT a.user_id) FROM raw_iam_activities a JOIN raw_iam_user_groups uhg ON a.user_id=uhg.user_id AND uhg.deleted_on IS NULL JOIN raw_iam_groups g ON uhg.group_id=g.id WHERE DATE(a.created_on)=CURRENT_DATE AND a.platform_id=6 GROUP BY g.name","raw_iam_activities, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase) (M6)",Count
